mmsiNumber,Vessel_Name,Vessel_Type,Vessel_Category
219000185,MHV 805 GEMINI,Military Ops,MILITARY
236685000,N/A ,,CARGO
219019027,MHG 010,SAR,OTHER
219018272,PACIFIC,Chemical/Oil Tanker,TANKER
258656000,NORHOLM,cargo,CARGO
256312000,HTM WARRIOR,Chemical/Oil Tanker,TANKER
209950000,N/A ,,CARGO
244554000,ANKIE,cargo,CARGO
246838000,LADY ANNA,cargo,CARGO
636091859,N/A ,,CARGO
257059320,BRATTHOLM,fishing ,FISHING
257836000,WILSON GRIMSBY,cargo,CARGO
305506000,THEODOR,container,CARGO
538006805,ALFRED N,Chemical/Oil Tanker,TANKER
212198000,MARJATTA,cargo,CARGO
305067000,LIANNE,cargo,CARGO
538006836,PACIFIC JEWELS,TANKER,TANKER
273338540,LAZURITE,cargo,CARGO
314220000,WILSON DVINA,cargo,CARGO
305615000,N/A ,,CARGO
219554000,TERNVIND,Chemical/Oil Tanker,TANKER
244580000,JEKERBORG,cargo,CARGO
210169000,N/A ,,CARGO
259538000,LYSBRIS SEAWAYS,cargo,CARGO
248674000,N/A ,,CARGO
273363000,SORMOVSKIY-3063,cargo,CARGO
538005166,NAVE EQUINOX,Chemical/Oil Tanker,TANKER
304585000,INA LEHMANN,cargo,CARGO
218759000,N/A ,,CARGO
258099000,KVITUNGEN,fishing ,FISHING
266475000,NAUTILUS,Chemical/Oil Tanker,TANKER
219019041,MHG 022,SAR,OTHER
305555000,N/A ,,UNKNOWN
377455000,GLOBIA,cargo,CARGO
236652000,KATELINA,Chemical/Oil Tanker,TANKER
305706000,STEVIE,cargo,CARGO
266273000,EXCELLO,Chemical/Oil Tanker,TANKER
219005059,MARCOS,tug,TUG
305364000,N/A ,,CARGO
257114000,PEAK SKORPO,cargo,CARGO
304021000,HELENE-B,cargo,CARGO
219024886,VESTA FJORD,tug,TUG
236039000,BALTIC SKIPPER,,CARGO
205208000,WARSHIP M917,Military Ops,MILITARY
205209000,NATO WARSHIP M921,Military Ops,MILITARY
209204000,N/A ,,CARGO
111219507,M 507,SAR,OTHER
477627200,N/A ,,TANKER
219019022,MHG 005,SAR,OTHER
219000181,MHV 801 ALDEBARAN,Military Ops,MILITARY
305059000,BARENTS,cargo,CARGO
219750000,DOLPHIN,tug,TUG
636016069,INDIAN HARMONY,bulk carrier,CARGO
219024812,MICMAG,Pleasure Craft ,PLEASURE
219001262,ALBERTE HOJ,dredger,OTHER
219013514,AARSLEFF JACK VI,other ,OTHER
304036000,HAV PIKE,cargo,CARGO
211265530,RAGNA,container,CARGO
305541000,NM COPENHAGEN,cargo,CARGO
244130641,RUYTER,cargo,CARGO
244110544,STENA FORETELLER,ro-ro cargo,CARGO
304520000,N/A ,,CARGO
219000125,HDMS ERTHOLM,Military Ops,MILITARY
219000217,HDMS SOELOEVEN,Military Ops,MILITARY
305299000,BJORG,container,CARGO
219023780,EASTSIDE 2,Pleasure Craft ,PLEASURE
209336000,RIX ALLIANCE,cargo,CARGO
354749000,N/A ,,CARGO
219019028,MHG 011,SAR,OTHER
257059350,SEIBOEN,fishing ,FISHING
215818000,N/A ,,CARGO
211686000,ANITA HAGEDORN,cargo,CARGO
236263000,CLAUS,Chemical/Oil Tanker,TANKER
376205000,AMADEUS,cargo,CARGO
210359000,ELBWATER,container,CARGO
219018735,SVNRIB610002,SAR,OTHER
219024739,TEAM FLUER.DK,Pleasure Craft ,PLEASURE
219000815,GEISNAES,Pleasure Craft ,PLEASURE
305224000,FEED STAVANGER,cargo,CARGO
230662000,MIRVA VG,cargo,CARGO
215107000,N/A ,,TANKER
209010000,N/A ,,UNKNOWN
376848000,N/A ,,UNKNOWN
230017000,N/A ,,UNKNOWN
219017151,SIMA,Support Vessel,OTHER
219681000,N/A ,,UNKNOWN
219699100,N/A ,,UNKNOWN
231523000,EIKEFJORD,cargo,CARGO
314417000,PLUTO,cargo,CARGO
219023737,RESCUE LOKE,SAR,OTHER
314194000,WILSON GIJON,cargo,CARGO
566255000,HAFNIA BERING,Chemical/Oil Tanker,TANKER
636092734,GOLDEN GRAINS,bulk carrier,CARGO
248676000,N/A ,,CARGO
219012753,ROXY,Pleasure Craft ,PLEASURE
219007572,LEA HOEJ,dredger,OTHER
245377000,VB SCHELDE,tug,TUG
518690000,N/A ,,UNKNOWN
245229000,N/A ,,UNKNOWN
229564000,N/A ,,UNKNOWN
304667000,ELBSAILOR,container,CARGO
305274000,LPG VENUS,tanker,TANKER
211210380,GERMAN WARSHIP M1058,Military Ops,MILITARY
356972000,PEARL IVY,cargo,CARGO
273315800,OMSKIY-140,cargo,CARGO
219617000,N/A ,bulk carrier,CARGO
220516000,ORATANK,Chemical/Oil Tanker,TANKER
246819000,ROAR R,bulk carrier,CARGO
246818000,HELGE R,bulk carrier,CARGO
304690000,TANJA,cargo,CARGO
265472000,STOCKHOLM,passenger/ro ro cargo ,PASSANGER
219000161,MHV 904 LYOE,Military Ops,MILITARY
563052000,ELISALEX SCHULTE,Chemical/Oil Tanker,TANKER
466243000,N/A ,,UNKNOWN
218179000,ILKA,cargo,CARGO
244810323,ARKLOW BANK,cargo,CARGO
245157000,NORDBORG,cargo,CARGO
246227000,LONGROSE,cargo,CARGO
257062620,TEEGEE,Pleasure Craft ,PLEASURE
259888000,STAVFJORD,Chemical/Oil Tanker,TANKER
377661000,N/A ,,CARGO
219001859,N/A ,,TUG
219002493,SANDHOLM,dredger,OTHER
538006075,ADVANTAGE LIFE,tanker,TANKER
219018906,JEBNES,Pleasure Craft ,PLEASURE
219005496,HG 89 CHARLOTTE,fishing ,FISHING
219421000,VICTORY,fishing ,FISHING
219020084,MARPO,Pleasure Craft ,PLEASURE
305198000,DOLFIJN,cargo,CARGO
219024967,MEN AT WORK,Pleasure Craft ,PLEASURE
219024005,MIDWAY,Pleasure Craft ,PLEASURE
219020238,N/A ,,UNKNOWN
219009958,MARTHA,Pleasure Craft ,PLEASURE
538003552,N/A ,,UNKNOWN
219021782,LUCIA,Pleasure Craft ,PLEASURE
219023766,TEAM RAY,Pleasure Craft ,PLEASURE
564739000,EVA SCHULTE,Chemical/Oil Tanker,TANKER
219005662,LILLE BO,fishing ,FISHING
231251000,HAV STREYM,cargo,CARGO
246199000,BREADBOX VIPER,cargo,CARGO
219021548,TEAM AEGIR,Pleasure Craft ,PLEASURE
